0,1,2,3,4,5,6,7,8,9,10,11,"Bangalore Common
Product Group",,"Bangalore Common
Lounge Costs","Bangalore Baklava
","Bangalore Beverages
","Bangalore Breads
",Bangalore Cakes & Pastries,Bangalore Chocolates,Bangalore Cookies,Bangalore Ready to Eat,Chennai Common Product Group,"Delhi Common Product 
Group","Gurgaon Common Product Group
","Mumbai Common
Product Group",Banni Square,1 Mg Cafe,1 MG,Adarsh Palm Retreat,BLR Airport Terminal,TFS Airport,IRHPL-T2,Artizan T2 Internatonal,Basaveshwara Nagar,BEL Road,Bhartiya City Mall,Bhartiya Mall,Bellandur,Bangalore Corporate,Cummulus,International Bakery,BLR - Forum Falconcity,Forum Mall,Garuda Mall,Bangalore Retail,BLR - Hesaraghatta - RF,"Bangalore HORECA
",HSR,Electronic City,IRHPL-BLR,IRHPL-Delhi,Indiranagar,Jayanagar,J.P Nagar,Kadugodi,Kamanahalli,Koramangala,Lavelle Road,Mahadevpura,Mall of Asia,MAP Smoor,Marathahalli,Orion Mall,Phoenix Mall,RR Nagar,RT Nagar,Sadashivanagar,Sarjapur,Forum Shantiniketan,UB City,Uttarahalli,Vega City,Whitefield Lounge,Yelahanka Cloud Kitchen,Arumbakkam Cloud Kitchen,Avadi CH,"Mumbai Lounge Cost
","Chennai Common Lounge Costs
",Chennai Corporate,Express Avenue SMOOR,Medavakkam TN,Velachery,Delhi Corporate,"Delhi Lounge Cost
",Ambience Mall,Defense Colony CK,Dwarka Cloud Kitchen,Green Park CK,Kalkaji - RF,Laxmi Nagar,Mukherjee Nagar,"Gurgaon Common Lounge Cost
","Gurgaon Corporate
",Gurugram sector 31 Cloud Kitchen,Udyog Vihar CK,Vashi Smoor,Bandra,Bhandup,Mumbai Corporate,Godrej One,Grant Road,Infiniti Mall Malad,Malad,Jio mall,Kharghar,Koreagaon Park,"Pune Common Lounge Costs
",Mahakali,Mira Road,PMC Kurla,Phoenix Mall Pune,Powai,Sakinaka,Seawoods Mall,Versova,Viviana Mall Thane,Pune Common Product Group,Greater Noida 2,Noida Sector 2,Noida Sector 46
431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 9415 : 1MG CAFE : 240731FS29005497 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6327.24,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 9415 : 1MG CAFE : 240731FS29005497 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,597.01,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431036,Order Cancelation - E Commerce,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 9415 : 1MG CAFE : 240731FS29005497 :31/07/2024,,Expenses,Corporate Costs,Corporate Costs,Office Expenses,Office Expenses,Corporate Cost,Other Expenses,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,102.15,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 328433 : BEL ROAD : 240731FS29005499 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,17925.07,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 328433 : BEL ROAD : 240731FS29005499 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,597.01,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 438717 : BEL ROAD  (Truly Asian) : 240731FS29006589 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1058.98,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 783640 : BHARTIYA CITY MALL : 240731FS29004521 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10592.18,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 783640 : BHARTIYA CITY MALL : 240731FS29004521 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,597.01,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431036,Order Cancelation - E Commerce,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 783640 : BHARTIYA CITY MALL : 240731FS29004521 :31/07/2024,,Expenses,Corporate Costs,Corporate Costs,Office Expenses,Office Expenses,Corporate Cost,Other Expenses,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,102.15,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 1053 : FORUM NEXUS KORAMANGALA : 240731FS29006341 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
